,n,m,c,tipoFrec,maxDist,maxDist%
349,10.0,500.0,4.0,1.0,312.0,37.6
350,10.0,500.0,4.0,1.0,311.0,37.8
351,10.0,500.0,4.0,1.0,314.0,37.2
352,10.0,500.0,4.0,1.0,314.0,37.2
353,10.0,500.0,4.0,1.0,317.0,36.6
354,10.0,500.0,4.0,1.0,318.0,36.4
355,10.0,500.0,4.0,1.0,321.0,35.8
356,10.0,500.0,4.0,1.0,322.0,35.599999999999994
357,10.0,500.0,4.0,1.0,318.0,36.4
358,10.0,500.0,4.0,1.0,321.0,35.8
359,10.0,500.0,4.0,1.0,314.0,37.2
360,10.0,500.0,4.0,2.0,429.0,14.200000000000003
361,10.0,500.0,4.0,2.0,435.0,13.0
362,10.0,500.0,4.0,2.0,431.0,13.799999999999997
363,10.0,500.0,4.0,2.0,428.0,14.400000000000006
364,10.0,500.0,4.0,2.0,425.0,15.0
365,10.0,500.0,4.0,2.0,440.0,12.0
366,10.0,500.0,4.0,2.0,427.0,14.599999999999994
367,10.0,500.0,4.0,2.0,432.0,13.599999999999994
368,10.0,500.0,4.0,2.0,422.0,15.599999999999994
369,10.0,500.0,4.0,2.0,429.0,14.200000000000003
370,10.0,500.0,4.0,2.0,424.0,15.200000000000003
371,10.0,500.0,4.0,2.0,433.0,13.400000000000006
372,10.0,500.0,4.0,2.0,430.0,14.0
373,10.0,500.0,4.0,2.0,429.0,14.200000000000003
374,10.0,500.0,4.0,2.0,425.0,15.0
375,10.0,500.0,4.0,2.0,427.0,14.599999999999994
376,10.0,500.0,4.0,2.0,428.0,14.400000000000006
377,10.0,500.0,4.0,2.0,435.0,13.0
378,10.0,500.0,4.0,2.0,434.0,13.200000000000003
379,10.0,500.0,4.0,2.0,431.0,13.799999999999997
380,10.0,500.0,4.0,2.0,426.0,14.799999999999997
381,10.0,500.0,4.0,2.0,440.0,12.0
382,10.0,500.0,4.0,2.0,425.0,15.0
383,10.0,500.0,4.0,2.0,427.0,14.599999999999994
384,10.0,500.0,4.0,2.0,422.0,15.599999999999994
385,10.0,500.0,4.0,2.0,427.0,14.599999999999994
386,10.0,500.0,4.0,2.0,435.0,13.0
387,10.0,500.0,4.0,2.0,431.0,13.799999999999997
388,10.0,500.0,4.0,2.0,429.0,14.200000000000003
389,10.0,500.0,4.0,2.0,443.0,11.400000000000006
390,10.0,500.0,4.0,2.0,432.0,13.599999999999994
391,10.0,500.0,4.0,2.0,436.0,12.799999999999997
392,10.0,500.0,4.0,2.0,427.0,14.599999999999994
393,10.0,500.0,4.0,2.0,429.0,14.200000000000003
394,10.0,500.0,4.0,2.0,420.0,16.0
395,10.0,500.0,4.0,2.0,428.0,14.400000000000006
396,10.0,500.0,4.0,2.0,431.0,13.799999999999997
397,10.0,500.0,4.0,2.0,425.0,15.0
398,10.0,500.0,4.0,2.0,424.0,15.200000000000003
399,10.0,500.0,4.0,2.0,424.0,15.200000000000003
400,10.0,500.0,4.0,2.0,429.0,14.200000000000003
401,10.0,500.0,4.0,2.0,427.0,14.599999999999994
402,10.0,500.0,4.0,2.0,424.0,15.200000000000003
403,10.0,500.0,4.0,2.0,425.0,15.0
404,10.0,500.0,4.0,2.0,429.0,14.200000000000003
405,10.0,500.0,4.0,2.0,427.0,14.599999999999994
406,10.0,500.0,4.0,2.0,423.0,15.400000000000006
407,10.0,500.0,4.0,2.0,423.0,15.400000000000006
408,10.0,500.0,4.0,2.0,431.0,13.799999999999997
409,10.0,500.0,4.0,2.0,423.0,15.400000000000006
410,10.0,500.0,4.0,2.0,429.0,14.200000000000003
411,10.0,500.0,4.0,2.0,427.0,14.599999999999994
412,10.0,500.0,4.0,2.0,425.0,15.0
413,10.0,500.0,4.0,2.0,423.0,15.400000000000006
414,10.0,500.0,4.0,2.0,430.0,14.0
415,10.0,500.0,4.0,2.0,420.0,16.0
416,10.0,500.0,4.0,2.0,435.0,13.0
417,10.0,500.0,4.0,2.0,426.0,14.799999999999997
418,10.0,500.0,4.0,2.0,429.0,14.200000000000003
419,10.0,500.0,4.0,2.0,421.0,15.799999999999997
420,10.0,500.0,4.0,2.0,429.0,14.200000000000003
421,10.0,500.0,4.0,2.0,424.0,15.200000000000003
422,10.0,500.0,4.0,2.0,435.0,13.0
423,10.0,500.0,4.0,2.0,420.0,16.0
424,10.0,500.0,4.0,2.0,425.0,15.0
425,10.0,500.0,4.0,2.0,428.0,14.400000000000006
426,10.0,500.0,4.0,2.0,425.0,15.0
427,10.0,500.0,4.0,2.0,430.0,14.0
428,10.0,500.0,4.0,2.0,431.0,13.799999999999997
429,10.0,500.0,4.0,2.0,428.0,14.400000000000006
430,10.0,500.0,4.0,2.0,434.0,13.200000000000003
431,10.0,500.0,4.0,2.0,429.0,14.200000000000003
432,10.0,500.0,4.0,2.0,423.0,15.400000000000006
433,10.0,500.0,4.0,2.0,430.0,14.0
434,10.0,500.0,4.0,2.0,426.0,14.799999999999997
435,10.0,500.0,4.0,2.0,425.0,15.0
436,10.0,500.0,4.0,2.0,423.0,15.400000000000006
437,10.0,500.0,4.0,2.0,430.0,14.0
438,10.0,500.0,4.0,2.0,424.0,15.200000000000003
439,10.0,500.0,4.0,2.0,428.0,14.400000000000006
440,10.0,500.0,4.0,2.0,433.0,13.400000000000006
441,10.0,500.0,4.0,2.0,429.0,14.200000000000003
442,10.0,500.0,4.0,2.0,432.0,13.599999999999994
443,10.0,500.0,4.0,2.0,428.0,14.400000000000006
444,10.0,500.0,4.0,2.0,429.0,14.200000000000003
445,10.0,500.0,4.0,2.0,433.0,13.400000000000006
446,10.0,500.0,4.0,2.0,433.0,13.400000000000006
447,10.0,500.0,4.0,2.0,431.0,13.799999999999997
448,10.0,500.0,4.0,2.0,430.0,14.0
449,10.0,500.0,4.0,2.0,428.0,14.400000000000006
450,10.0,500.0,4.0,3.0,373.0,25.400000000000006
451,10.0,500.0,4.0,3.0,376.0,24.799999999999997
452,10.0,500.0,4.0,3.0,379.0,24.200000000000003
453,10.0,500.0,4.0,3.0,370.0,26.0
454,10.0,500.0,4.0,3.0,374.0,25.200000000000003
455,10.0,500.0,4.0,3.0,373.0,25.400000000000006
456,10.0,500.0,4.0,3.0,364.0,27.200000000000003
457,10.0,500.0,4.0,3.0,375.0,25.0
458,10.0,500.0,4.0,3.0,376.0,24.799999999999997
459,10.0,500.0,4.0,3.0,369.0,26.200000000000003
460,10.0,500.0,4.0,3.0,378.0,24.400000000000006
461,10.0,500.0,4.0,3.0,375.0,25.0
462,10.0,500.0,4.0,3.0,368.0,26.400000000000006
463,10.0,500.0,4.0,3.0,369.0,26.200000000000003
464,10.0,500.0,4.0,3.0,371.0,25.799999999999997
465,10.0,500.0,4.0,3.0,376.0,24.799999999999997
466,10.0,500.0,4.0,3.0,364.0,27.200000000000003
467,10.0,500.0,4.0,3.0,372.0,25.599999999999994
468,10.0,500.0,4.0,3.0,381.0,23.799999999999997
469,10.0,500.0,4.0,3.0,376.0,24.799999999999997
470,10.0,500.0,4.0,3.0,381.0,23.799999999999997
471,10.0,500.0,4.0,3.0,373.0,25.400000000000006
472,10.0,500.0,4.0,3.0,377.0,24.599999999999994
473,10.0,500.0,4.0,3.0,373.0,25.400000000000006
474,10.0,500.0,4.0,3.0,369.0,26.200000000000003
475,10.0,500.0,4.0,3.0,367.0,26.599999999999994
476,10.0,500.0,4.0,3.0,375.0,25.0
477,10.0,500.0,4.0,3.0,372.0,25.599999999999994
478,10.0,500.0,4.0,3.0,386.0,22.799999999999997
479,10.0,500.0,4.0,3.0,372.0,25.599999999999994
480,10.0,500.0,4.0,3.0,373.0,25.400000000000006
481,10.0,500.0,4.0,3.0,374.0,25.200000000000003
482,10.0,500.0,4.0,3.0,372.0,25.599999999999994
483,10.0,500.0,4.0,3.0,382.0,23.599999999999994
484,10.0,500.0,4.0,3.0,376.0,24.799999999999997
485,10.0,500.0,4.0,3.0,373.0,25.400000000000006
